FID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
1,001,Kaivopuisto,Brunnsparken,Kaivopuisto,Meritori 1,Havstorget 1,Helsinki,Helsingfors,CityBike Finland,30,24.9502928896903,60.155444793821
2,002,Laivasillankatu,Skeppsbrogatan,Laivasillankatu,Laivasillankatu 14,Skeppsbrogatan 14,Helsinki,Helsingfors,CityBike Finland,12,24.9563474717587,60.1609590943154
3,003,Kapteeninpuistikko,Kaptensskvären,Kapteeninpuistikko,Tehtaankatu 13,Fabriksgatan 13,Helsinki,Helsingfors,CityBike Finland,19,24.9449274,60.1581892
4,004,Viiskulma,Femkanten,Viiskulma,Fredrikinkatu 19,Fredriksgatan  19,Helsinki,Helsingfors,CityBike Finland,14,24.9417758,60.1609859
5,005,Sepänkatu,Smedsgatan,Sepänkatu,Tehtaankatu 25,Fabriksgatan 25,Helsinki,Helsingfors,CityBike Finland,32,24.9362853,60.1579483
6,006,Hietalahdentori,Sandvikens torg,Hietalahdentori,Hietalahdenkatu 2,Sandviksgatan 2,Helsinki,Helsingfors,CityBike Finland,24,24.9297099,60.1622251
7,007,Designmuseo,Designmuseet,Design Museum,Korkeavuorenkatu 23,Högbergsgatan 23,Helsinki,Helsingfors,CityBike Finland,14,24.94596,60.1631032
8,008,Vanha kirkkopuisto,Gamla kyrkoparken,Vanha kirkkopuisto,Annankatu 16,Annegatan 16,Helsinki,Helsingfors,CityBike Finland,25,24.9391499,60.1652883
9,009,Erottajan aukio,Skillnadsplatsen,Erottajan aukio,Eteläesplanadi 22,Södra esplanaden 22,Helsinki,Helsingfors,CityBike Finland,1,24.9441349288079,60.1669116668204
10,010,Kasarmitori,Kaserntorget,Kasarmitori,Fabianinkatu 13,Fabiansgatan 13,Helsinki,Helsingfors,CityBike Finland,29,24.94947287873,60.1650171805
11,011,Unioninkatu,Unionsgatan,Unioninkatu,Eteläesplanadi 1,Södra esplanaden 1,Helsinki,Helsingfors,CityBike Finland,22,24.9510227,60.1674573
12,012,Kanavaranta,Kanalkajen,Kanavaranta,Kanavaranta 1,Kanalkajen 1,Helsinki,Helsingfors,CityBike Finland,26,24.9583814,60.168384
13,013,Merisotilaantori,Flottisttorget,Merisotilaantori,Merisotilaantori,Flottisttorget,Helsinki,Helsingfors,CityBike Finland,12,24.9755341,60.1678703
14,014,Senaatintori,Senatstorget,Senate Square,Aleksanterinkatu 22,Alexandersgatan 22,Helsinki,Helsingfors,CityBike Finland,22,24.9526414,60.1691278
15,015,Ritarikatu,Riddaregatan,Ritarikatu,Ritarikatu 7,Riddaregatan 7,Helsinki,Helsingfors,CityBike Finland,12,24.95555819284,60.17110664588
16,016,Liisanpuistikko,Elisabetsskvären,Liisanpuistikko,Liisankatu 1,Elisabetsgatan 1,Helsinki,Helsingfors,CityBike Finland,16,24.9613747,60.1741822
17,017,Varsapuistikko,Fölskvären,Varsapuistikko,Yrjö-Koskisen katu 1,Yrjö-Koskinens gata 1,Helsinki,Helsingfors,CityBike Finland,30,24.9494791,60.1731029
18,018,Porthania,Porthania,Porthania,Yliopistonkatu 3,Universitetsgatan 3,Helsinki,Helsingfors,CityBike Finland,21,24.9481463998,60.16986222858
19,019,Rautatientori / itä,Järnvägstorget/öst,Central Railway Station/East,Rautatientori 1,Järnvägstorget 1,Helsinki,Helsingfors,CityBike Finland,21,24.9425268,60.1708236
20,020,Kaisaniemenpuisto,Kajsaniemiparken,Kaisaniemenpuisto,Bergbominkuja 1,Bergbomsgränden 1,Helsinki,Helsingfors,CityBike Finland,22,24.9433010006817,60.1731989417251
21,021,Töölönlahdenkatu,Tölöviksgatan,Töölönlahdenkatu,Töölönlahdenkatu 1,Tölöviksgatan 1,Helsinki,Helsingfors,CityBike Finland,49,24.939284,60.1729435
22,022,Rautatientori / länsi,Järnvägstorget/väst,Central Railway Station/West,Kaivokatu 1,Brunnsgatan 1,Helsinki,Helsingfors,CityBike Finland,17,24.9397601,60.1706061
