X,Y,FID,TERMINAALI,NIMI,SOLX,SOLY,SOLOMX,SOLOMY,LYHYTTUNNUS,VERKKO,PYSAKIT
24.931648996359741,60.169004361456864,1,1000001,Kamppi (lähiliikenneterminaali),6673407,2551898,60.169008,24.931662, ,1,"1040271,1040272,1040273,1040274,1040275,1040276,1040277,1040278,1040279,1040280,1040281,1040282,1040283,1040284,1040285,1040289"
24.939475016261344,60.171803514691874,2,1000002,Elielinaukio,6673725,2552328,60.171808,24.939488, ,1,"1020128,1020129,1020131,1020132,1020133,1020135,1020228,1020239,1020241,1020243,1020245,1020249,1020251,1020253,1020255,1020257,1020259"
24.942558714204928,60.171278972635577,3,1000003,Rautatientori,6673669,2552500,60.171283,24.942572,RT,1,"1020109,1020112,1020113,1020115,1020116,1020117,1020118,1020119,1020120,1020121,1020122,1020123,1020134,1020175,1020182,1020201,1020204"
24.933959677464273,60.199012812526234,4,1000004,Pasila,6676752,2551979,60.199017,24.933973, ,1,"1173105,1173106,1174128,1174147,1173148"
25.00928016819682,60.25028885893137,5,1000005,Malmin asema (terminaali),6682526,2556069,60.250292,25.009293,MA,1,"1381101,1381102,1381103,1381104,1381105,1381106,1381108,1382133,1382135,1382126,1382127"
25.012414180738855,60.2506060927794,6,1000006,Ala-Malmin tori,6682564,2556242,60.250609,25.012427, ,1,"1382163,1382174,1382176,1382185,1382188"
25.082521807813695,60.236409413045628,7,1000007,Kontula,6681044,2560150,60.236413,25.082534, ,1,"1471109,1471117,1471118,1471137,1471138,1471159,1471160,1471179,1471181,1471189,1471110"
25.077087454626696,60.209973990363473,8,1000008,Itäkeskus,6678094,2559897,60.209978,25.077100, ,1,"1453104,1453115,1453116,1453126,1453128,1453130,1453182,1453184,1453186,1453189,1453202,1453287,1453112,1453114,1453214,1453132"
25.144050638057049,60.207124569865897,9,1000010,Vuosaari,6677839,2563615,60.207129,25.144063, ,1,"1531102,1531115,1531116,1531121,1541161,1541162,1531163"
25.035494393327912,60.275219934051222,10,1000011,Puistola,6685326,2557477,60.275223,25.035506, ,1,"1402125,1402126,1402130,1402131,1402132"
