Selite_en,Longitude,Latitude,N_GK25,E_GK25,Name_fi,Name_en
culture,24.664003,60.178207,6673975,25481352,Lehtikaskenpuisto,Latokaski residents' park
culture,24.945707,60.175472,6673624,25496987,Kaisaniemen kasvitieteellinen puutarha,Kaisaniemi Botanic Garden
culture,24.596163,60.193,6675644,25477597,Palttinapuisto,Palttinapuisto park
culture,24.707438,60.237747,6680597,25483792,Träskändan kartanopuisto,Träskända Manor park
culture,24.80572,60.230335,6679751,25489235,Tikanpuisto,Tikanpuisto park
culture,24.937683,60.18899,6675131,25496543,Alppipuisto,Alppipuisto Park
culture,24.77779,60.161633,6672102,25487661,Pattistenpelto puisto,Pattistenpelto park
culture,24.810575,60.181374,6674295,25489488,Tapiolan Silkkiniityn puisto,Tapiolan Silkkiniitty park
culture,24.765211,60.174347,6673521,25486968,Kotitontunpuisto,Kotitontunpuisto park
culture,24.956709,60.156853,6671549,25497596,Kaivopuisto,Kaivopuisto Park
culture,24.953217,60.215584,6678093,25497407,Koiruohonpuisto,
culture,24.756699,60.169353,6672966,25486493,Niittykummunpuisto,Niittykummunpuisto park
culture,24.806723,60.205887,6677027,25489282,Kurkijoenpuisto,Kurkijoenpuisto park
culture,24.64312,60.146503,6670449,25480174,Ankkuripohjanpuisto,Ankkuripohjanpuisto park
culture,24.623272,60.184856,6674728,25479096,Vantinpuisto,Vantinpuisto park
culture,24.742414,60.232193,6679970,25485728,Tuohisniityn puisto,Tuohisniitty park
culture,24.893698,60.222656,6678884,25494108,Haagan Alppiruusupuisto,Haagan Alppiruusupuisto - Rhododendron Park in Haaga
culture,24.801796,60.21829,6678410,25489013,Leppäviidanpuisto,Leppäviidanpuisto park
culture,24.783878,60.23203,6679944,25488025,Nurmilinnunpuisto,Nurmilinnunpuisto park
culture,24.771255,60.199825,6676358,25487313,Porttipuisto,Porttipuisto park
culture,24.753521,60.149906,6670800,25486309,Rantaraitin puisto,Coastal fresh park
culture,24.664375,60.142235,6669967,25481353,Kartanonkulma,Kartanonkulma park
culture,24.947615,60.167454,6672731,25497092,Esplanadin puisto,Esplanade Park
culture,24.68207,60.192284,6675538,25482363,Espoon keskuspuisto,Espoo Central park
culture,24.976212,60.213573,6677868,25498681,Annalan puutarha,Annala Garden
culture,24.703615,60.17931,6674088,25483551,Sinisiimeksen puisto,Sinisiimes park
culture,24.958172,60.202087,6676589,25497680,Kumpulan kasvitieteellinen puutarha,Kumpula Botanic Garden
culture,24.694765,60.148132,6670616,25483044,Iivisniemenpuisto,Iivisniemenpuisto park
culture,24.811377,60.2154,6678087,25489543,Alberganesplanadin puisto,Alberganesplanadi park
culture,24.79844,60.185375,6674743,25488816,Pohjankulman puisto,Pohjankulma park
culture,24.931623,60.18612,6674811,25496206,Talvipuutarha,The Winter Garden
culture,24.93265,60.162056,6672130,25496260,Sinebrychoffin puisto,Sinebrychoff Park
culture,24.733809,60.161175,6672060,25485219,Tynnyripuisto,Tynnyripuisto park
culture,24.733809,60.18629,6674858,25485230,Lillhemtinpuisto,Lillhemtinpuisto park
culture,24.650486,60.15109,6670958,25480586,Laivatorin puisto,Laivatori park
